graph_size (n),density,edge_count,algorithm,trial,max_flow_result,solve_time,setup_time,total_time
10,0.1,9,cplex,1,5.0,0.0007768000014038989,0.015217099999063066,0.015993900000466965
10,0.1,9,ford-fulkerson,1,5,1.3999999282532372e-05,6.8999997893115506e-06,2.0899999071843922e-05
10,0.1,9,Edmonds-Karp,1,5,1.6699999832781032e-05,5.300000339047983e-06,2.2000000171829015e-05
10,0.1,9,cplex,2,6.0,0.0004227999997965526,0.005975399999442743,0.006398199999239296
10,0.1,9,ford-fulkerson,2,6,1.4500001270789653e-05,6.600001142942347e-06,2.1100002413732e-05
10,0.1,9,Edmonds-Karp,2,6,1.4200000805431046e-05,6.399999620043673e-06,2.0600000425474718e-05
10,0.1,9,cplex,3,4.0,0.00047389999963343143,0.006190699999933713,0.0066645999995671446
10,0.1,9,ford-fulkerson,3,4,2.7300000510876998e-05,1.2999998943996616e-05,4.0299999454873614e-05
10,0.1,9,Edmonds-Karp,3,4,1.6099998902063817e-05,7.5000007200287655e-06,2.3599999622092582e-05
10,0.1,9,cplex,4,1.0,0.0003971999994973885,0.007256799999595387,0.007653999999092775
10,0.1,9,ford-fulkerson,4,1,1.2399999832268804e-05,6.70000008540228e-06,1.9099999917671084e-05
10,0.1,9,Edmonds-Karp,4,1,1.3999999282532372e-05,5.000001692678779e-06,1.900000097521115e-05
10,0.1,9,cplex,5,3.0,0.00041140000030281954,0.006471099999544094,0.006882499999846914
10,0.1,9,ford-fulkerson,5,3,1.1399999493733048e-05,6.599999323952943e-06,1.799999881768599e-05
10,0.1,9,Edmonds-Karp,5,3,1.2599999536178075e-05,5.199999577598646e-06,1.779999911377672e-05
10,0.3,27,cplex,1,12.0,0.0006733000009262469,0.006725999999616761,0.007399300000543008
10,0.3,27,ford-fulkerson,1,12,3.97000003431458e-05,1.3299999409355223e-05,5.2999999752501026e-05
10,0.3,27,Edmonds-Karp,1,12,1.6400001186411828e-05,1.1800000720540993e-05,2.820000190695282e-05
10,0.3,27,cplex,2,13.0,0.0005682999999407912,0.006603199999517528,0.0071714999994583195
10,0.3,27,ford-fulkerson,2,13,2.4599999960628338e-05,1.340000017080456e-05,3.80000001314329e-05
10,0.3,27,Edmonds-Karp,2,13,1.469999915570952e-05,1.06999996205559e-05,2.539999877626542e-05
10,0.3,27,cplex,3,50.0,0.000566400000025169,0.00656170000002021,0.007128100000045379
10,0.3,27,ford-fulkerson,3,50,0.00012419999984558672,1.320000046689529e-05,0.000137400000312482
10,0.3,27,Edmonds-Karp,3,50,4.8400001105619594e-05,1.630000042496249e-05,6.470000153058209e-05
10,0.3,27,cplex,4,23.0,0.0006085000004532048,0.007306100000278093,0.007914600000731298
10,0.3,27,ford-fulkerson,4,23,4.819999958272092e-05,1.4600000213249587e-05,6.279999979597051e-05
10,0.3,27,Edmonds-Karp,4,23,3.670000114652794e-05,1.3900000340072438e-05,5.060000148660038e-05
10,0.3,27,cplex,5,10.0,0.00068959999953222,0.007436500000039814,0.008126099999572034
10,0.3,27,ford-fulkerson,5,10,3.8500000300700776e-05,2.1299998479662463e-05,5.979999878036324e-05
10,0.3,27,Edmonds-Karp,5,10,2.6100000468431972e-05,1.1399999493733048e-05,3.749999996216502e-05
10,0.5,45,cplex,1,68.0,0.0006379000005836133,0.0076265999996394385,0.008264500000223052
10,0.5,45,ford-fulkerson,1,68,0.00010400000064691994,2.2100000933278352e-05,0.0001261000015801983
10,0.5,45,Edmonds-Karp,1,68,3.870000000461005e-05,1.6699999832781032e-05,5.539999983739108e-05
10,0.5,45,cplex,2,42.0,0.0006333000001177425,0.0072362999999313615,0.007869600000049104
10,0.5,45,ford-fulkerson,2,42,0.00010029999975813553,1.959999826794956e-05,0.00011989999802608509
10,0.5,45,Edmonds-Karp,2,42,5.1799999710056e-05,2.0199999198666774e-05,7.199999890872277e-05
10,0.5,45,cplex,3,62.0,0.000588400000196998,0.008678100000906852,0.00926650000110385
10,0.5,45,ford-fulkerson,3,62,0.00010769999971671496,2.0200001017656177e-05,0.00012790000073437113
10,0.5,45,Edmonds-Karp,3,62,4.499999886320438e-05,1.7500000467407517e-05,6.24999993306119e-05
10,0.5,45,cplex,4,75.0,0.0006086000012146542,0.00752930000089691,0.008137900002111564
10,0.5,45,ford-fulkerson,4,75,0.00014740000005986076,2.029999996011611e-05,0.00016770000001997687
10,0.5,45,Edmonds-Karp,4,75,6.060000123397913e-05,1.6899999536690302e-05,7.750000077066943e-05
10,0.5,45,cplex,5,76.0,0.000563900000997819,0.006917599999724189,0.007481500000722008
10,0.5,45,ford-fulkerson,5,76,0.00013049999870418105,2.029999996011611e-05,0.00015079999866429716
10,0.5,45,Edmonds-Karp,5,76,6.009999924572185e-05,1.8999999156221747e-05,7.90999984019436e-05
10,0.7,62,cplex,1,70.0,0.0006071999996493105,0.007786600001054467,0.008393800000703777
10,0.7,62,ford-fulkerson,1,70,0.00018140000065614004,2.4400000256719068e-05,0.0002058000009128591
10,0.7,62,Edmonds-Karp,1,70,6.22000006842427e-05,2.1699999706470408e-05,8.39000003907131e-05
10,0.7,62,cplex,2,67.0,0.0006009999997331761,0.007306699999389821,0.007907699999122997
10,0.7,62,ford-fulkerson,2,67,0.00012740000056510326,2.6300000172341242e-05,0.0001537000007374445
10,0.7,62,Edmonds-Karp,2,67,7.46000005165115e-05,2.3999999029911123e-05,9.859999954642262e-05
10,0.7,62,cplex,3,43.0,0.0005865999992238358,0.007313199999771314,0.00789979999899515
10,0.7,62,ford-fulkerson,3,43,0.0001126000006479444,2.4000000848900527e-05,0.00013660000149684492
10,0.7,62,Edmonds-Karp,3,43,3.219999962311704e-05,2.159999894502107e-05,5.379999856813811e-05
10,0.7,62,cplex,4,58.0,0.0006135000003268942,0.007169599999542697,0.0077830999998695916
10,0.7,62,ford-fulkerson,4,58,0.00010509999992791563,2.4700000722077675e-05,0.0001298000006499933
10,0.7,62,Edmonds-Karp,4,58,6.629999916185625e-05,2.170000152545981e-05,8.800000068731606e-05
10,0.7,62,cplex,5,48.0,0.0005808000005345093,0.0073236000007455004,0.00790440000128001
10,0.7,62,ford-fulkerson,5,48,0.00010780000047816429,2.4400000256719068e-05,0.00013220000073488336
10,0.7,62,Edmonds-Karp,5,48,4.140000055485871e-05,2.370000038354192e-05,6.510000093840063e-05
10,0.9,72,cplex,1,64.0,0.0006031000011716969,0.007437099999151542,0.008040200000323239
10,0.9,72,ford-fulkerson,1,64,0.00015250000069499947,3.0499999411404133e-05,0.0001830000001064036
10,0.9,72,Edmonds-Karp,1,64,6.659999962721486e-05,2.6499999876250513e-05,9.309999950346537e-05
10,0.9,72,cplex,2,77.0,0.00061200000163808,0.009475200000451878,0.010087200002089958
10,0.9,72,ford-fulkerson,2,77,0.00017120000120485201,2.6699999580159783e-05,0.0001979000007850118
10,0.9,72,Edmonds-Karp,2,77,7.929999992484227e-05,2.5600000299164094e-05,0.00010490000022400636
10,0.9,72,cplex,3,73.0,0.0006006999992678175,0.007564699999420554,0.008165399998688372
10,0.9,72,ford-fulkerson,3,73,0.00013749999925494194,2.8599999495781958e-05,0.0001660999987507239
10,0.9,72,Edmonds-Karp,3,73,7.400000140478369e-05,3.04000004689442e-05,0.00010440000187372789
10,0.9,72,cplex,4,86.0,0.0006807999998272862,0.007845199999792385,0.008525999999619671
10,0.9,72,ford-fulkerson,4,86,0.00015579999853798654,2.700000004551839e-05,0.00018279999858350493
10,0.9,72,Edmonds-Karp,4,86,4.240000089339446e-05,2.4899998606997542e-05,6.7299999500392e-05
10,0.9,72,cplex,5,94.0,0.0006407000000763219,0.007472499999494175,0.008113199999570497
10,0.9,72,ford-fulkerson,5,94,0.0001875000016298145,2.7600000976235606e-05,0.0002151000026060501
10,0.9,72,Edmonds-Karp,5,94,8.039999920583796e-05,2.5100000129896216e-05,0.00010549999933573417
10,1,72,cplex,1,103.0,0.0005481999996845843,0.007438800001182244,0.007987000000866828
10,1,72,ford-fulkerson,1,103,0.0001869000006990973,2.6300000172341242e-05,0.00021320000087143853
10,1,72,Edmonds-Karp,1,103,6.609999945794698e-05,2.4599999960628338e-05,9.069999941857532e-05
10,1,72,cplex,2,89.0,0.0006296999999904074,0.007844200001272839,0.008473900001263246
10,1,72,ford-fulkerson,2,89,0.0001691999987087911,2.6499999876250513e-05,0.0001956999985850416
10,1,72,Edmonds-Karp,2,89,8.119999984046444e-05,2.390000008745119e-05,0.00010509999992791563
10,1,72,cplex,3,95.0,0.0006584999991900986,0.00793100000009872,0.008589499999288819
10,1,72,ford-fulkerson,3,95,0.00019410000095376745,2.7600000976235606e-05,0.00022170000193000305
10,1,72,Edmonds-Karp,3,95,6.819999907747842e-05,2.5699999241624027e-05,9.389999831910245e-05
10,1,72,cplex,4,86.0,0.0006212000007508323,0.0075552999987849034,0.008176499999535736
10,1,72,ford-fulkerson,4,86,0.00020940000104019418,2.9400000130408444e-05,0.00023880000117060263
10,1,72,Edmonds-Karp,4,86,6.970000140427146e-05,2.59000007645227e-05,9.560000216879416e-05
10,1,72,cplex,5,82.0,0.0005850999987160321,0.009236099998815916,0.009821199997531949
10,1,72,ford-fulkerson,5,82,0.000148899998748675,2.6699999580159783e-05,0.00017559999832883477
10,1,72,Edmonds-Karp,5,82,8.479999996779952e-05,3.5600000046542846e-05,0.00012040000001434237
20,0.1,38,cplex,1,17.0,0.0006327999999484746,0.007758899999316782,0.008391699999265256
20,0.1,38,ford-fulkerson,1,17,9.330000102636404e-05,2.0700001186924055e-05,0.0001140000022132881
20,0.1,38,Edmonds-Karp,1,17,3.0399998649954796e-05,1.5999999959603883e-05,4.639999860955868e-05
20,0.1,38,cplex,2,14.0,0.0005737999999837484,0.0070475000011356315,0.00762130000111938
20,0.1,38,ford-fulkerson,2,14,9.099999988393392e-05,1.9100001736660488e-05,0.00011010000162059441
